,Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
4027,Hyundai Creta 1.6 SX Plus Petrol Automatic,2017,21363,Petrol,Automatic,First,13.0 kmpl,1591 CC,121.3 bhp,5.0,13490.0
673,Maruti Ertiga ZDI,2015,59000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7.0,7500.0
574,Maruti Swift VDI,2014,35000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,5250.0
677,Hyundai i10 Magna Optional 1.1L,2008,80400,Petrol,Manual,First,16.0 kmpl,1086 CC,66.7 bhp,5.0,2300.0
5086,Maruti Dzire VDI,2013,68434,Diesel,Manual,First,28.4 kmpl,1248 CC,73.75 bhp,5.0,5500.0
1701,Toyota Fortuner 3.0 Diesel,2011,146300,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,12250.0
1419,Hyundai Santro Xing XL,2007,82000,Petrol,Manual,Second,0.0 kmpl,1086 CC,null bhp,5.0,1350.0
3619,Honda City i VTEC SV,2014,54257,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5.0,6250.0
4099,Hyundai Grand i10 1.2 Kappa Asta,2018,10000,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,6500.0
4335,Volkswagen Vento Diesel Comfortline,2014,52400,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5.0,5360.0
2030,Toyota Innova Crysta 2.4 VX MT,2016,25121,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,17110.0
1872,Maruti Eeco 7 Seater Standard,2014,34669,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,7.0,2900.0
3859,Toyota Innova 2.5 V Diesel 8-seater,2013,112000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,8.0,12000.0
2225,Mahindra XUV500 W8 2WD,2014,67000,Diesel,Manual,Second,15.1 kmpl,2179 CC,140 bhp,7.0,7200.0
5753,Nissan Terrano XL Plus 85 PS,2014,60000,Diesel,Manual,First,20.45 kmpl,1461 CC,83.8 bhp,5.0,6000.0
775,Toyota Fortuner 4x4 MT,2013,74000,Diesel,Manual,Second,12.55 kmpl,2982 CC,168.5 bhp,7.0,17900.0
5048,Skoda Fabia 1.2 MPI Classic,2008,61000,Petrol,Manual,Second,17.5 kmpl,1198 CC,70 bhp,5.0,1650.0
1225,Maruti 800 DX BSII,2009,32000,Petrol,Manual,First,16.1 kmpl,796 CC,37 bhp,4.0,900.0
5297,Honda Brio V MT,2012,65167,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,3280.0
4955,Maruti Swift VXI BSIV,2006,80010,Petrol,Manual,Second,20.4 kmpl,1197 CC,81.80 bhp,5.0,2850.0
2641,Hyundai i20 Asta 1.2,2016,17560,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,7210.0
2779,Skoda Superb Elegance 1.8 TSI MT,2014,136000,Petrol,Manual,First,13.1 kmpl,1798 CC,157.75 bhp,5.0,9500.0
1380,Nissan Terrano XV 110 PS,2014,103788,Diesel,Manual,First,19.01 kmpl,1461 CC,108.5 bhp,5.0,5670.0
5916,Hyundai Accent GLE,2005,50000,Petrol,Manual,First,13.2 kmpl,1495 CC,94 bhp,5.0,700.0
4815,Volkswagen Vento Diesel Comfortline,2012,75000,Diesel,Manual,Third,20.54 kmpl,1598 CC,103.6 bhp,5.0,3500.0
5414,Mercedes-Benz R-Class R350 4Matic Long,2014,45710,Petrol,Automatic,First,11.8 kmpl,3498 CC,272 bhp,7.0,23680.0
5586,Audi Q5 2008-2012 2.0 TDI,2013,12467,Diesel,Automatic,First,12.8 kmpl,1968 CC,167.6 bhp,5.0,25640.0
5236,Hyundai Verna 1.6 SX CRDi (O),2012,45000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,6250.0
3116,Hyundai i20 1.4 Sportz,2019,32251,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5.0,8610.0
4471,Audi A6 3.0 TDI quattro,2009,52830,Diesel,Automatic,Second,16.77 kmpl,2967 CC,241.38 bhp,5.0,8080.0
2152,Maruti Ritz VDi,2011,77400,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5.0,2500.0
1997,Mahindra Scorpio S10 4WD,2015,120000,Diesel,Manual,First,15.4 kmpl,2179 CC,120 bhp,7.0,12000.0
2390,Skoda Superb Elegance 1.8 TSI AT,2016,56674,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5.0,14050.0
4012,Maruti Alto LXi,2006,68000,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,1500.0
2423,BMW 3 Series 320d,2013,25000,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5.0,17990.0
4659,Honda City i VTEC VX Option,2016,42000,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5.0,9250.0
2016,Nissan Sunny 2011-2014 Diesel XV,2012,70000,Diesel,Manual,First,21.64 kmpl,1461 CC,84.8 bhp,5.0,2590.0
3518,Renault Duster 110PS Diesel RxZ AMT,2017,42646,Diesel,Automatic,First,19.6 kmpl,1461 CC,108.45 bhp,5.0,12460.0
2327,Chevrolet Enjoy 1.3 TCDi LTZ 8,2015,57934,Diesel,Manual,First,18.2 kmpl,1248 CC,73.74 bhp,8.0,5500.0
5594,Nissan Sunny 2011-2014 Diesel XL,2012,87982,Diesel,Manual,First,21.64 kmpl,1461 CC,84.8 bhp,5.0,5000.0
4381,Toyota Innova 2.5 G4 Diesel 8-seater,2011,65000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,8.0,6400.0
4002,Hyundai i20 Sportz 1.4 CRDi,2013,60000,Diesel,Manual,First,21.9 kmpl,1396 CC,88.76 bhp,5.0,5450.0
842,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,2014,47000,Diesel,Automatic,First,15.97 kmpl,2993 CC,258 bhp,7.0,41500.0
5002,BMW X3 xDrive 20d xLine,2017,36723,Diesel,Automatic,First,18.56 kmpl,1995 CC,190 bhp,5.0,32570.0
0,Maruti Wagon R LXI CNG,2010,72000,CNG,Manual,First,26.6 km/kg,998 CC,58.16 bhp,5.0,1750.0
1743,Maruti Wagon R LXI,2010,21002,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5.0,2750.0
1730,Maruti Swift Dzire VXI,2016,18000,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5.0,4400.0
5385,Mahindra XUV500 W10 1.99 mHawk,2016,24569,Diesel,Manual,First,16.0 kmpl,1997 CC,140 bhp,7.0,13500.0
2642,Renault Duster 85PS Diesel RxL,2016,60000,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,5.0,8000.0
4969,Mahindra Scorpio SLE BSIV,2014,45239,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,8.0,7090.0
5175,BMW 5 Series 530d M Sport,2010,58000,Diesel,Automatic,First,18.59 kmpl,2993 CC,265 bhp,5.0,11750.0
571,Maruti Swift ZXI,2013,49000,Petrol,Manual,First,18.6 kmpl,1197 CC,85.8 bhp,5.0,4450.0
780,Ford Fiesta 1.4 Duratorq ZXI,2007,112808,Diesel,Manual,Second,17.8 kmpl,1399 CC,68 bhp,5.0,2050.0
1075,Maruti Alto LXi BSIII,2009,35000,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,1700.0
5701,BMW 3 Series 320i Sedan,2010,70749,Petrol,Automatic,First,12.05 kmpl,1995 CC,154 bhp,5.0,9860.0
3413,Hyundai i20 Sportz Option,2014,17858,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5.0,5320.0
5441,Ford Endeavour 3.2 Titanium AT 4X4,2017,54650,Diesel,Automatic,First,10.91 kmpl,3198 CC,197 bhp,7.0,30350.0
2324,Ford EcoSport 1.5 TDCi Titanium,2014,72563,Diesel,Manual,Second,22.77 kmpl,1498 CC,98.59 bhp,5.0,5000.0
3789,Maruti S Cross DDiS 200 Alpha,2016,58000,Diesel,Manual,First,23.65 kmpl,1248 CC,88.5 bhp,5.0,7900.0
2361,Hyundai i10 Sportz,2014,47003,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,3670.0
1369,Hyundai Verna CRDi 1.6 SX,2008,96578,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5.0,2500.0
2097,Mercedes-Benz E-Class E 220 d,2013,85000,Diesel,Automatic,First,16.1 kmpl,1950 CC,194 bhp,5.0,21000.0
4464,Hyundai i20 1.2 Magna Executive,2017,17431,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,6000.0
5637,Chevrolet Optra 1.6 LT Royale,2013,55176,Petrol,Manual,Second,17.4 kmpl,1599 CC,104 bhp,5.0,3470.0
3353,Hyundai Xcent 1.2 Kappa AT SX Option,2015,59800,Petrol,Automatic,First,16.9 kmpl,1197 CC,82 bhp,5.0,5800.0
5415,Maruti Dzire AMT VXI,2017,42000,Petrol,Automatic,First,22.0 kmpl,1197 CC,81.80 bhp,5.0,5500.0
4364,Skoda Laura Elegance 2.0 TDI CR AT,2013,72202,Diesel,Automatic,First,20.0 kmpl,1968 CC,138.1 bhp,5.0,9060.0
2626,Audi A4 1.8 TFSI,2010,38001,Petrol,Automatic,First,12.3 kmpl,1781 CC,163.2 bhp,5.0,8500.0
2889,Ford Endeavour 2.5L 4X2 MT,2011,68022,Diesel,Manual,First,13.1 kmpl,2499 CC,141 bhp,7.0,5860.0
3112,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2009,156056,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,8.0,8500.0
1292,Maruti Ciaz 1.4 AT Alpha,2017,32000,Petrol,Automatic,First,19.12 kmpl,1373 CC,91.1 bhp,5.0,9200.0
247,BMW X1 sDrive20d,2014,82002,Diesel,Automatic,First,17.05 kmpl,1995 CC,184 bhp,5.0,18500.0
322,Maruti Swift Dzire VDi,2012,48000,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,5.0,3700.0
4990,Maruti Swift Dzire VDI,2015,131000,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5.0,3600.0
960,Maruti Alto 800 VXI,2016,26000,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5.0,2600.0
1320,BMW 3 Series 320d Luxury Line,2013,37613,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5.0,13950.0
2195,Maruti Wagon R VXI,2016,16956,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5.0,3600.0
2260,BMW 5 Series 520d Luxury Line,2012,95000,Diesel,Automatic,Second,22.48 kmpl,1995 CC,190 bhp,5.0,17500.0
2892,Hyundai i20 Sportz Diesel,2011,68439,Diesel,Manual,First,23.0 kmpl,1396 CC,90 bhp,5.0,3370.0
3602,Hyundai i10 Magna 1.2 iTech SE,2011,9489,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,2950.0
395,Maruti Ritz LDi,2011,90207,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5.0,3910.0
3717,Audi A4 2.0 TDI 177 Bhp Premium Plus,2014,40000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,17500.0
459,Audi Q7 4.2 TDI Quattro Technology,2016,51002,Diesel,Automatic,First,11.33 kmpl,4134 CC,335.2 bhp,7.0,48910.0
508,Hyundai Grand i10 Sportz,2017,8500,Petrol,Manual,Second,18.9 kmpl,1197 CC,82 bhp,5.0,4800.0
1876,Maruti Swift Dzire VXI,2014,48800,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5.0,4250.0
857,Hyundai Verna 1.6 SX CRDi (O),2015,72996,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,7110.0
1937,Maruti Alto LXi,2008,65000,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,1590.0
1950,Hyundai i20 Magna,2012,54000,Petrol,Manual,First,18.5 kmpl,1197 CC,82.85 bhp,5.0,3300.0
2362,Tata Safari Storme Explorer Edition,2014,80000,Diesel,Manual,First,14.0 kmpl,2179 CC,138.1 bhp,7.0,6000.0
5016,Land Rover Freelander 2 TD4 HSE,2013,72000,Diesel,Automatic,First,0.0 kmpl,2179 CC,115 bhp,5.0,15500.0
687,Skoda Superb 1.8 TSI MT,2010,53293,Petrol,Manual,First,13.14 kmpl,1798 CC,160 bhp,5.0,6000.0
2253,Maruti Swift LXI Option,2015,29500,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5.0,4150.0
3073,Skoda Laura Ambition 2.0 TDI CR MT,2011,84062,Diesel,Manual,First,20.0 kmpl,1968 CC,108.5 bhp,5.0,5800.0
5274,Volkswagen Vento Petrol Highline,2011,55893,Petrol,Manual,First,15.04 kmpl,1598 CC,103.6 bhp,5.0,3350.0
1828,BMW X1 xDrive 20d xLine,2016,7000,Diesel,Automatic,First,20.68 kmpl,1995 CC,190 bhp,5.0,27750.0
4394,Toyota Corolla Altis GL MT,2016,33690,Petrol,Manual,First,14.28 kmpl,1798 CC,138.03 bhp,5.0,14600.0
3655,Hyundai Elantra CRDi SX AT,2016,22000,Diesel,Automatic,First,19.5 kmpl,1582 CC,126.24 bhp,5.0,16000.0
5682,Maruti Alto 800 LXI,2017,27718,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5.0,3280.0
3842,Maruti Ertiga ZDI Plus,2016,42000,Diesel,Manual,First,25.47 kmpl,1248 CC,88.50 bhp,7.0,9900.0
4334,Hyundai Grand i10 1.2 Kappa Sportz,2017,38712,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,5870.0
1612,Chevrolet Aveo U-VA 1.2 LS,2008,75000,Petrol,Manual,Second,15.26 kmpl,1150 CC,74.9 bhp,5.0,1150.0
4292,Mercedes-Benz E-Class 2009-2013 E 250 Elegance,2011,87073,Petrol,Automatic,First,10.93 kmpl,2497 CC,204 bhp,5.0,17230.0
2517,Hyundai Verna 1.4 VTVT,2016,36000,Petrol,Manual,First,17.43 kmpl,1396 CC,105.5 bhp,5.0,8000.0
3709,Honda City 1.5 S MT,2011,71556,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,5500.0
4929,Hyundai Creta 1.6 SX,2016,69000,Petrol,Manual,First,15.8 kmpl,1591 CC,121.3 bhp,5.0,9700.0
199,Renault Duster 85PS Diesel RxL,2014,90000,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,5.0,5350.0
4538,Skoda Yeti Elegance,2010,110009,Diesel,Manual,First,17.67 kmpl,1968 CC,138.08 bhp,5.0,6990.0
750,Honda City i-VTEC CVT VX,2015,18955,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,10650.0
5890,Hyundai i20 Diesel Asta Option,2018,31000,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5.0,7750.0
2204,Mahindra Scorpio S10 AT 4WD,2017,66988,Diesel,Automatic,First,15.4 kmpl,2179 CC,120 bhp,7.0,10000.0
4935,Toyota Fortuner 4x4 MT,2012,68350,Diesel,Manual,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,14000.0
2567,Hyundai i10 Era,2013,56075,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5.0,3120.0
2014,Volkswagen Polo 1.0 MPI Comfortline,2016,42000,Petrol,Manual,Second,18.78 kmpl,999 CC,75 bhp,5.0,5500.0
3462,Honda Accord VTi-L MT,2007,86000,Petrol,Manual,Third,11.9 kmpl,2354 CC,144 bhp,5.0,1850.0
5921,Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,2016,21000,Diesel,Automatic,First,13.0 kmpl,2143 CC,204 bhp,5.0,36000.0
1648,Maruti A-Star AT Vxi Aktiv,2013,60587,Petrol,Automatic,Second,16.98 kmpl,998 CC,66.1 bhp,5.0,3490.0
2256,Ford Figo Petrol Titanium,2010,59196,Petrol,Manual,Second,15.6 kmpl,1196 CC,70 bhp,5.0,2250.0
3735,BMW 3 Series 320d,2010,80000,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5.0,14200.0
3210,Mercedes-Benz M-Class ML 350 4Matic,2016,22769,Diesel,Automatic,First,0.0 kmpl,2987 CC,165 bhp,5.0,49220.0
3926,Maruti Ignis 1.3 Zeta,2017,19000,Diesel,Manual,First,26.8 kmpl,1248 CC,74 bhp,5.0,5910.0
329,Hyundai i20 1.4 CRDi Asta,2012,83000,Diesel,Manual,First,23.0 kmpl,1396 CC,90 bhp,5.0,5500.0
2540,Hyundai EON Magna Plus,2017,12000,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,3500.0
4473,Honda Mobilio E i DTEC,2014,58972,Diesel,Manual,First,24.2 kmpl,1498 CC,98.6 bhp,7.0,6500.0
3441,Volkswagen CrossPolo 1.5 TDI,2015,26256,Diesel,Manual,First,20.14 kmpl,1498 CC,88.5 bhp,5.0,4250.0
1664,Honda Brio S MT,2013,53959,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,3500.0
2952,Tata Indigo eCS LS (TDI) BS-III,2015,83000,Diesel,Manual,First,19.09 kmpl,1405 CC,69.01 bhp,5.0,2700.0
658,Toyota Corolla Executive (HE),2007,89000,Petrol,Manual,First,13.4 kmpl,1794 CC,125 bhp,5.0,3000.0
2407,Honda City 1.5 S MT,2013,83432,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,5900.0
2264,Toyota Etios Liva V,2012,24500,Petrol,Manual,Second,18.3 kmpl,,,,2950.0
212,Renault Duster 85PS Diesel RxL Optional,2014,30000,Diesel,Manual,First,20.46 kmpl,1461 CC,83.8 bhp,5.0,5950.0
5689,Maruti SX4 Vxi BSIV,2010,69918,Petrol,Manual,First,15.5 kmpl,1586 CC,103.3 bhp,5.0,2830.0
2237,Renault Duster Petrol RxL,2014,52000,Petrol,Manual,First,13.24 kmpl,1598 CC,102.57 bhp,5.0,5990.0
4688,Honda CR-V 2.0L 2WD AT,2011,55987,Petrol,Automatic,First,13.7 kmpl,1997 CC,153.86 bhp,5.0,8220.0
4689,Toyota Fortuner 2.8 2WD MT,2017,72668,Diesel,Manual,First,14.24 kmpl,2755 CC,174.5 bhp,7.0,28850.0
5779,Volkswagen Vento Konekt Diesel Highline,2013,55000,Diesel,Manual,Second,20.54 kmpl,1598 CC,103.6 bhp,5.0,6100.0
3718,Volkswagen Polo Diesel Comfortline 1.2L,2013,77445,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,3750.0
4917,Mahindra TUV 300 2015-2019 T8,2017,22251,Diesel,Manual,First,18.49 kmpl,1493 CC,100 bhp,7.0,8750.0
461,Renault Duster 110PS Diesel RxL,2012,82749,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,5990.0
4680,Maruti Ertiga VDI,2016,54161,Diesel,Manual,First,25.47 kmpl,1248 CC,88.50 bhp,7.0,7640.0
2508,Hyundai Verna CRDi ABS,2008,120000,Diesel,Manual,Second,18.1 kmpl,1493 CC,110 bhp,5.0,2000.0
4885,Hyundai i20 Asta 1.2,2016,57000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,6000.0
2438,Maruti Dzire VDI,2011,110000,Diesel,Manual,First,28.4 kmpl,1248 CC,73.75 bhp,5.0,4000.0
1904,Mercedes-Benz New C-Class 250 CDI Classic,2012,41367,Diesel,Automatic,First,15.8 kmpl,2148 CC,170 bhp,5.0,18490.0
5154,Maruti Celerio ZXI,2014,21701,Petrol,Manual,First,23.1 kmpl,998 CC,67.04 bhp,5.0,3380.0
2451,Maruti Swift Dzire Tour LDI,2016,80000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,4500.0
3316,Mahindra Ssangyong Rexton RX5,2012,73670,Diesel,Manual,First,12.83 kmpl,2696 CC,162 bhp,7.0,12500.0
250,Skoda Rapid Leisure 1.6 TDI MT,2012,55000,Diesel,Manual,First,20.5 kmpl,1598 CC,103.6 bhp,5.0,3500.0
850,Toyota Innova Crysta 2.4 ZX MT,2017,43200,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,18600.0
5939,Toyota Innova 2.5 G (Diesel) 8 Seater,2012,106000,Diesel,Manual,First,12.99 kmpl,2494 CC,100 bhp,8.0,8400.0
2542,Hyundai Santro GLS II - Euro II,2011,65000,Petrol,Manual,Second,0.0 kmpl,,,,3150.0
2888,Volkswagen Vento Diesel Trendline,2012,110000,Diesel,Manual,Second,20.54 kmpl,1598 CC,103.6 bhp,5.0,3650.0
3092,Honda City i VTEC SV,2015,480000,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5.0,5000.0
5302,Audi Q7 3.0 TDI Quattro Premium Plus,2016,31075,Diesel,Automatic,Second,12.07 kmpl,2967 CC,241.4 bhp,7.0,49790.0
2513,Maruti Swift VXi BSIV,2016,19148,Petrol,Manual,First,16.1 kmpl,1197 CC,85 bhp,5.0,5890.0
4921,Hyundai i20 Sportz 1.2,2016,24001,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,5750.0
4144,Tata Indigo CS eVX,2016,52000,Diesel,Manual,Second,25.0 kmpl,1396 CC,69.01 bhp,5.0,2400.0
3146,Hyundai Grand i10 Sportz,2017,33284,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,5840.0
2397,Ford EcoSport 1.5 Petrol Trend,2016,21460,Petrol,Manual,First,17.0 kmpl,1497 CC,121.36 bhp,5.0,6000.0
5069,Volkswagen Polo 1.2 MPI Highline,2015,58134,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,5.0,4640.0
1792,Toyota Fortuner 4x2 Manual,2012,115000,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7.0,12990.0
3082,Skoda Laura Ambiente,2012,77216,Diesel,Manual,Second,17.5 kmpl,1896 CC,106 bhp,5.0,4500.0
2971,Hyundai EON Era Plus,2015,91000,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,2500.0
5679,Volkswagen Vento 1.5 TDI Highline,2017,28000,Diesel,Manual,First,20.64 kmpl,1498 CC,108.5 bhp,5.0,10000.0
1139,Hyundai Grand i10 1.2 Kappa Magna,2017,8471,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,5000.0
5559,Hyundai Creta 1.6 SX Plus Petrol Automatic,2018,32854,Petrol,Automatic,First,13.0 kmpl,1591 CC,121.3 bhp,5.0,12600.0
5417,Renault Duster 110PS Diesel RxZ,2013,57000,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,4990.0
662,Volkswagen Vento IPL II Petrol Highline AT,2013,36000,Petrol,Automatic,First,14.8 kmpl,1598 CC,105 bhp,5.0,4650.0
372,Maruti Vitara Brezza ZDi Plus,2017,39000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,9490.0
2463,Toyota Innova 2.5 GX (Diesel) 7 Seater,2012,62000,Diesel,Manual,First,12.99 kmpl,2494 CC,100 bhp,7.0,7750.0
1837,Chevrolet Cruze LTZ AT,2009,73204,Diesel,Automatic,Third,18.1 kmpl,1991 CC,147.9 bhp,4.0,3500.0
5499,Hyundai i10 Era,2011,60634,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5.0,3300.0
2673,Skoda Octavia Elegance 2.0 TDI AT,2015,71826,Diesel,Automatic,First,19.3 kmpl,1968 CC,141 bhp,5.0,15500.0
1579,Hyundai Grand i10 Asta Option,2015,50000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,5750.0
5320,Volkswagen Polo 1.2 MPI Highline,2016,7523,Petrol,Manual,First,16.2 kmpl,1199 CC,74 bhp,5.0,6150.0
4116,Volkswagen Polo Petrol Comfortline 1.2L,2016,28851,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5.0,6180.0
2179,Honda City i VTEC CVT VX,2015,50000,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,7410.0
4194,Maruti Baleno RS 1.0 Petrol,2017,16900,Petrol,Manual,First,21.1 kmpl,998 CC,100 bhp,5.0,6990.0
2280,Maruti Celerio VXI,2016,25562,Petrol,Manual,First,23.1 kmpl,998 CC,67.04 bhp,5.0,3500.0
697,Toyota Innova Crysta 2.4 ZX MT,2017,64798,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,18750.0
2259,Hyundai Santa Fe 4WD AT,2015,59000,Diesel,Automatic,First,13.01 kmpl,2199 CC,194.3 bhp,7.0,21000.0
2143,Hyundai EON D Lite Plus,2015,31412,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,3420.0
